# Matter power spectrum P(k) at redshift z=1000
# for k=1.7181e-05 to 1057.74 h/Mpc,
# number of wavenumbers equal to 650
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.166142812435e-02       8.006635832506e-03 
       2.184943696410e-02       8.060186898832e-03 
       2.203749485881e-02       8.113435024831e-03 
       2.222560250969e-02       8.166378936107e-03 
       2.241376064204e-02       8.219016236590e-03 
       2.260197000538e-02       8.271349158233e-03 
       2.279023137363e-02       8.323374445014e-03 
       2.297854554540e-02       8.375092275104e-03 
       2.316691334411e-02       8.426501900403e-03 
       2.335533561834e-02       8.477603503246e-03 
       2.354381324205e-02       8.528395300360e-03 
       2.373234711485e-02       8.578877936737e-03 
       2.392093816238e-02       8.629049856026e-03 
       2.410958733657e-02       8.678911275697e-03 
       2.429829561603e-02       8.728461439924e-03 
       2.448706400638e-02       8.777699904302e-03 
       2.467589354069e-02       8.826626893688e-03 
       2.486478527981e-02       8.875241328271e-03 
       2.505374031285e-02       8.923543960000e-03 
       2.524275975763e-02       8.971533246237e-03 
       2.543184476109e-02       9.019209216184e-03 
       2.562099649979e-02       9.066571808487e-03 
       2.581021618045e-02       9.113621229952e-03 
       2.599950504041e-02       9.160355782687e-03 
       2.618886434820e-02       9.206776627670e-03 
       2.637829540411e-02       9.252883481986e-03 
       2.656779954074e-02       9.298676359775e-03 
       2.675737812361e-02       9.344157034461e-03 
       2.694703255181e-02       9.389318368721e-03 
       2.713676425859e-02       9.434168589690e-03 
       2.732657471207e-02       9.478702175309e-03 
       2.751646541589e-02       9.522921874920e-03 
       2.770643790995e-02       9.566826968263e-03 
       2.789649377109e-02       9.610417620078e-03 
       2.808663461392e-02       9.653694033608e-03 
       2.827686209153e-02       9.696655936006e-03 
       2.846717789631e-02       9.739303636639e-03 
       2.865758376079e-02       9.781637542500e-03 
       2.884808145850e-02       9.823657362425e-03 
       2.903867280479e-02       9.865363341303e-03 
       2.922935965782e-02       9.906755828905e-03 
       2.942014391941e-02       9.947834872861e-03 
       2.961102753606e-02       9.988601002090e-03 
       2.980201249989e-02       1.002905437477e-02 
       2.999310084972e-02       1.006919539790e-02 
       3.018429467204e-02       1.010902429620e-02 
       3.037559610215e-02       1.014854139744e-02 
       3.056700732526e-02       1.018774715120e-02 
       3.075853057759e-02       1.022664170883e-02 
       3.095016814763e-02       1.026522555585e-02 
       3.114192237726e-02       1.030349907788e-02 
       3.133379566310e-02       1.034146268436e-02 
       3.152579045769e-02       1.037911697658e-02 
       3.171790927089e-02       1.041646214581e-02 
       3.191015467124e-02       1.045349921316e-02 
       3.210252928731e-02       1.049022848194e-02 
       3.229503580922e-02       1.052665032940e-02 
       3.248767699006e-02       1.056276759455e-02 
       3.268045564748e-02       1.059857451243e-02 
       3.287337466526e-02       1.063407806696e-02 
       3.306643699489e-02       1.066927937363e-02 
       3.325964565732e-02       1.070417154736e-02 
       3.345300374465e-02       1.073876174493e-02 
       3.364651442192e-02       1.077304638522e-02 
       3.384018092893e-02       1.080703306885e-02 
       3.403400658216e-02       1.084071699895e-02 
       3.422799477671e-02       1.087409889830e-02 
       3.442214898831e-02       1.090718266213e-02 
       3.461647277541e-02       1.093996550198e-02 
       3.481096978127e-02       1.097244733335e-02 
       3.500564373625e-02       1.100463375820e-02 
       3.520049846001e-02       1.103652121708e-02 
       3.539553786389e-02       1.106811388904e-02 
       3.559076595335e-02       1.109941226244e-02 
       3.578618683044e-02       1.113041512643e-02 
       3.598180469641e-02       1.116112121182e-02 
       3.617762385436e-02       1.119153766226e-02 
       3.637364871198e-02       1.122166015094e-02 
       3.656988378444e-02       1.125148922062e-02 
       3.676633369728e-02       1.128103228299e-02 
       3.696300318946e-02       1.131028421606e-02 
       3.715989711651e-02       1.133924538046e-02 
       3.735702045376e-02       1.136792167205e-02 
       3.755437829968e-02       1.139631123599e-02 
       3.775197587937e-02       1.142441130564e-02 
       3.794981854812e-02       1.145223016218e-02 
       3.814791179515e-02       1.147976472440e-02 
       3.834626124739e-02       1.150701460633e-02 
       3.854487267351e-02       1.153398258929e-02 
       3.874375198798e-02       1.156066971704e-02 
       3.894290525538e-02       1.158707708279e-02 
       3.914233869475e-02       1.161320509965e-02 
