# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=100
# for k=1.7181e-05 to 1057.74 h/Mpc,
# number of wavenumbers equal to 650
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_fld                  6:d_ur                   7:d_tot                  8:phi                    9:psi                
       1.395656892399e-03      -1.667359968717e+00      -1.252138634124e+00      -1.252160527160e+00       0.000000000000e+00      -1.666985405669e+00      -1.255790996693e+00       6.033388749683e-01       5.984791099664e-01 
       1.521182297352e-03      -1.682627442267e+00      -1.264249036888e+00      -1.264280086965e+00       0.000000000000e+00      -1.682101549117e+00      -1.267937136976e+00       6.031925199832e-01       5.983707928012e-01 
       1.653232635093e-03      -1.699919832598e+00      -1.278109173518e+00      -1.278152934019e+00       0.000000000000e+00      -1.699190156494e+00      -1.281838590108e+00       6.030249054709e-01       5.982464666944e-01 
       1.791228356804e-03      -1.719285181675e+00      -1.293819264163e+00      -1.293879245451e+00       0.000000000000e+00      -1.718287438436e+00      -1.297595036737e+00       6.028351491107e-01       5.981054972952e-01 
       1.934570742717e-03      -1.740738431189e+00      -1.311461855388e+00      -1.311542823228e+00       0.000000000000e+00      -1.739392964756e+00      -1.315289563606e+00       6.026225715039e-01       5.979473197956e-01 
       2.082672291894e-03      -1.764263572448e+00      -1.331103674509e+00      -1.331212919892e+00       0.000000000000e+00      -1.762472022795e+00      -1.334990494195e+00       6.023864136991e-01       5.977712073283e-01 
       2.234978040646e-03      -1.789804927605e+00      -1.352797077729e+00      -1.352941702061e+00       0.000000000000e+00      -1.787453653014e+00      -1.356749005615e+00       6.021264537176e-01       5.975770096905e-01 
       2.390978390810e-03      -1.817073230199e+00      -1.376396484379e+00      -1.376586261964e+00       0.000000000000e+00      -1.814063212087e+00      -1.380420838846e+00       6.018361405027e-01       5.973595259960e-01 
       2.550215084249e-03      -1.846168515962e+00      -1.402108295269e+00      -1.402351220402e+00       0.000000000000e+00      -1.842362962728e+00      -1.406209646452e+00       6.015240761854e-01       5.971251018354e-01 
       2.712282248797e-03      -1.876977084874e+00      -1.429954830014e+00      -1.430264204951e+00       0.000000000000e+00      -1.872215444483e+00      -1.434141490271e+00       6.011895612632e-01       5.968730123094e-01 
       2.876824264459e-03      -1.909356447451e+00      -1.459954342044e+00      -1.460343841175e+00       0.000000000000e+00      -1.903461833751e+00      -1.464233510665e+00       6.008329206669e-01       5.966035523469e-01 
       3.043531825090e-03      -1.943153543920e+00      -1.492118558165e+00      -1.492604910697e+00       0.000000000000e+00      -1.935929256274e+00      -1.496498809320e+00       6.004540864171e-01       5.963165322256e-01 
       3.212137171994e-03      -1.978196836230e+00      -1.526456613318e+00      -1.527056909616e+00       0.000000000000e+00      -1.969431047912e+00      -1.530945227678e+00       6.000535100850e-01       5.960122566098e-01 
       3.382409135563e-03      -2.014311460052e+00      -1.562971546422e+00      -1.563707723158e+00       0.000000000000e+00      -2.003772053551e+00      -1.567578756456e+00       5.996310716060e-01       5.956903866341e-01 
       3.554148364277e-03      -2.051304264425e+00      -1.601666965878e+00      -1.602560593808e+00       0.000000000000e+00      -2.038747659925e+00      -1.606400895652e+00       5.991874866311e-01       5.953514225382e-01 
