# Matter power spectrum P(k) at redshift z=100
# for k=1.7181e-05 to 1057.74 h/Mpc,
# number of wavenumbers equal to 650
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.166142812435e-02       8.652730268385e-01 
       2.184943696410e-02       8.697522065613e-01 
       2.203749485881e-02       8.741881451138e-01 
       2.222560250969e-02       8.785808076455e-01 
       2.241376064204e-02       8.829306748966e-01 
       2.260197000538e-02       8.872379243086e-01 
       2.279023137363e-02       8.915027526593e-01 
       2.297854554540e-02       8.957252108271e-01 
       2.316691334411e-02       8.999056608786e-01 
       2.335533561834e-02       9.040444631380e-01 
       2.354381324205e-02       9.081415770571e-01 
       2.373234711485e-02       9.121972089088e-01 
       2.392093816238e-02       9.162117175478e-01 
       2.410958733657e-02       9.201853260599e-01 
       2.429829561603e-02       9.241181588473e-01 
       2.448706400638e-02       9.280103411844e-01 
       2.467589354069e-02       9.318621940765e-01 
       2.486478527981e-02       9.356740706606e-01 
       2.505374031285e-02       9.394458155354e-01 
       2.524275975763e-02       9.431780102457e-01 
       2.543184476109e-02       9.468708361655e-01 
       2.562099649979e-02       9.505242612332e-01 
       2.581021618045e-02       9.541386205107e-01 
       2.599950504041e-02       9.577142107667e-01 
       2.618886434820e-02       9.612512714226e-01 
       2.637829540411e-02       9.647498075798e-01 
       2.656779954074e-02       9.682102025275e-01 
       2.675737812361e-02       9.716326142721e-01 
       2.694703255181e-02       9.750175549237e-01 
       2.713676425859e-02       9.783648568294e-01 
       2.732657471207e-02       9.816744677540e-01 
       2.751646541589e-02       9.849475593899e-01 
       2.770643790995e-02       9.881834770970e-01 
       2.789649377109e-02       9.913827586836e-01 
       2.808663461392e-02       9.945456215441e-01 
       2.827686209153e-02       9.976722053386e-01 
       2.846717789631e-02       1.000763147594e+00 
       2.865758376079e-02       1.003818258553e+00 
       2.884808145850e-02       1.006837491809e+00 
       2.903867280479e-02       1.009821721992e+00 
       2.922935965782e-02       1.012770730806e+00 
       2.942014391941e-02       1.015684678031e+00 
       2.961102753606e-02       1.018564706299e+00 
       2.980201249989e-02       1.021409819203e+00 
       2.999310084972e-02       1.024220612422e+00 
       3.018429467204e-02       1.026997563935e+00 
       3.037559610215e-02       1.029741224044e+00 
       3.056700732526e-02       1.032451050167e+00 
       3.075853057759e-02       1.035127323347e+00 
       3.095016814763e-02       1.037770392167e+00 
       3.114192237726e-02       1.040381161210e+00 
       3.133379566310e-02       1.042958604717e+00 
       3.152579045769e-02       1.045504315119e+00 
       3.171790927089e-02       1.048017042031e+00 
       3.191015467124e-02       1.050498219538e+00 
       3.210252928731e-02       1.052947888811e+00 
       3.229503580922e-02       1.055365651733e+00 
       3.248767699006e-02       1.057752106215e+00 
       3.268045564748e-02       1.060107287514e+00 
       3.287337466526e-02       1.062431936573e+00 
       3.306643699489e-02       1.064726152542e+00 
       3.325964565732e-02       1.066989718948e+00 
       3.345300374465e-02       1.069222620714e+00 
       3.364651442192e-02       1.071425553507e+00 
       3.384018092893e-02       1.073598559441e+00 
       3.403400658216e-02       1.075742088729e+00 
       3.422799477671e-02       1.077856812861e+00 
       3.442214898831e-02       1.079941138221e+00 
       3.461647277541e-02       1.081997709539e+00 
       3.481096978127e-02       1.084024938495e+00 
       3.500564373625e-02       1.086023736057e+00 
       3.520049846001e-02       1.087994234466e+00 
       3.539553786389e-02       1.089936420506e+00 
       3.559076595335e-02       1.091851199509e+00 
       3.578618683044e-02       1.093737880327e+00 
       3.598180469641e-02       1.095596777096e+00 
       3.617762385436e-02       1.097428795168e+00 
       3.637364871198e-02       1.099233879575e+00 
       3.656988378444e-02       1.101012292596e+00 
       3.676633369728e-02       1.102762927406e+00 
       3.696300318946e-02       1.104487686986e+00 
       3.715989711651e-02       1.106186041583e+00 
       3.735702045376e-02       1.107858452270e+00 
       3.755437829968e-02       1.109505511431e+00 
       3.775197587937e-02       1.111125770837e+00 
       3.794981854812e-02       1.112721395072e+00 
       3.814791179515e-02       1.114291470590e+00 
       3.834626124739e-02       1.115837142179e+00 
       3.854487267351e-02       1.117356713477e+00 
       3.874375198798e-02       1.118852175263e+00 
       3.894290525538e-02       1.120323113215e+00 
       3.914233869475e-02       1.121769344687e+00 
       3.934205868417e-02       1.123193128382e+00 
       3.954207176552e-02       1.124591348143e+00 
       3.974238464934e-02       1.125965814806e+00 
       3.994300421995e-02       1.127317223818e+00 
       4.014393754068e-02       1.128645287057e+00 
       4.034519185935e-02       1.129950179591e+00 
       4.054677461396e-02       1.131232970699e+00 
       4.074869343854e-02       1.132490956763e+00 
       4.095095616927e-02       1.133727748780e+00 
       4.115357085083e-02       1.134941787897e+00 
       4.135654574298e-02       1.136133072312e+00 
       4.155988932739e-02       1.137303408694e+00 
       4.176361031476e-02       1.138450974049e+00 
       4.196771765223e-02       1.139576934228e+00 
       4.217222053103e-02       1.140681844753e+00 
       4.237712839448e-02       1.141765094674e+00 
       4.258245094636e-02       1.142826929570e+00 
